collision_id,reaction,reactants,products,x,x_unit,y,y_unit,reactant_n_min,reactant_n_max,product_n_min,product_n_max,delta_n_max
251,H (n=3) + H (n=1) → H+ (n=1) + H (n=1),H (n=3) + H (n=1),H+ (n=1) + H (n=1),6500.0,K,1.70232e-10,cm3/s,1,3,1,1,-2
251,H (n=3) + H (n=1) → H+ (n=1) + H (n=1),H (n=3) + H (n=1),H+ (n=1) + H (n=1),7000.0,K,2.106e-10,cm3/s,1,3,1,1,-2
251,H (n=3) + H (n=1) → H+ (n=1) + H (n=1),H (n=3) + H (n=1),H+ (n=1) + H (n=1),7500.0,K,2.53708e-10,cm3/s,1,3,1,1,-2
251,H (n=3) + H (n=1) → H+ (n=1) + H (n=1),H (n=3) + H (n=1),H+ (n=1) + H (n=1),8000.0,K,2.9841e-10,cm3/s,1,3,1,1,-2
251,H (n=3) + H (n=1) → H+ (n=1) + H (n=1),H (n=3) + H (n=1),H+ (n=1) + H (n=1),8500.0,K,3.4515e-10,cm3/s,1,3,1,1,-2
251,H (n=3) + H (n=1) → H+ (n=1) + H (n=1),H (n=3) + H (n=1),H+ (n=1) + H (n=1),9000.0,K,3.92848e-10,cm3/s,1,3,1,1,-2
251,H (n=3) + H (n=1) → H+ (n=1) + H (n=1),H (n=3) + H (n=1),H+ (n=1) + H (n=1),9500.0,K,4.41266e-10,cm3/s,1,3,1,1,-2
251,H (n=3) + H (n=1) → H+ (n=1) + H (n=1),H (n=3) + H (n=1),H+ (n=1) + H (n=1),10000.0,K,4.91088e-10,cm3/s,1,3,1,1,-2
251,H (n=3) + H (n=1) → H+ (n=1) + H (n=1),H (n=3) + H (n=1),H+ (n=1) + H (n=1),11000.0,K,5.90961e-10,cm3/s,1,3,1,1,-2
251,H (n=3) + H (n=1) → H+ (n=1) + H (n=1),H (n=3) + H (n=1),H+ (n=1) + H (n=1),12000.0,K,6.91336e-10,cm3/s,1,3,1,1,-2
251,H (n=3) + H (n=1) → H+ (n=1) + H (n=1),H (n=3) + H (n=1),H+ (n=1) + H (n=1),13000.0,K,7.8965e-10,cm3/s,1,3,1,1,-2
251,H (n=3) + H (n=1) → H+ (n=1) + H (n=1),H (n=3) + H (n=1),H+ (n=1) + H (n=1),14000.0,K,8.8842e-10,cm3/s,1,3,1,1,-2
